상표명(자재명),자재구분,사업자,유효기간,공시기관,가격,미생물 학명,농약/비료등록여부,연락처(사업장),제조장주소,기능태그,online_url
어그리(미생물),충해관리용,㈜유피엘리미티드코리아,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"30,000원/250g",Bacillus thuringiensis,X,043-852-8095,충청북도 충주시 풍동동막길 110 (가주동),biocontrol_insect,
흙향(미생물),병해관리용,㈜비아이지,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,"35,000원/10kg, 67,000원/20kg",Streptomyces griseus,X,042-934-8154,대전광역시 유성구 테크노3로 77-2 (관평동),biocontrol_disease,
바이코나 1호골드(토양미생물제제),토양개량 및 작물생육용,투엠바이아연구소,2023.10.10 ~ 2026.10.09,강원대학교 산학협력단,"10,000원/1kg",Bacillus subtilis,제 충북 청주003-가-20301 호,043-212-2800,충청북도 청주시 청원구 북이면 용계내추로 297-11,soil_improvement,
제균탄(미생물),병해관리용,㈜씨엠씨코리아,2023.12.27 ~ 2026.12.26,강원대학교 산학협력단,"20,000원/1L",Streptomyces lavendulae,X,042-671-3378~9,대전광역시 유성구 국제과학7로 6 (신동),biocontrol_disease,http://www.plantprotector.co.kr/index.html?branduid=12231079&ref=naver_open
바이코나 2호골드(토양미생물제제),토양개량 및 작물생육용,투엠바이아연구소,2024.04.27 ~ 2027.04.26,강원대학교 산학협력단,"15,000원/1kg",Bacillus mojavensis,제 충북 청주003-가-20301 호,043-212-2800,충청북도 청주시 청원구 북이면 용계내추로 297-11,soil_improvement,
지하부대케이엠(지하부대KM)(미생물),병해관리용,고려바이오㈜,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,"25,000원/2L","Bacillus amyloliquefaciens, Pseudomonas putida",X,031-354-8183,경기도 화성시 정남면 정남동로 346,biocontrol_disease,
올스탑(미생물),병해관리용,고려바이오㈜,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,"30,000원/500mL",Paenibacillus polymyxa,X,031-354-8183,경기도 화성시 정남면 정남동로 346,biocontrol_disease,https://shopping.naver.com/product/7899458949
팡가드(미생물),병해관리용,농업회사법인 투엠바이오㈜,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,"10,000원/100mL, 33,000원/500mL, 57,500원/1L, 195,000원/5L, 390,000원/10L, 730,000원/20L",Bacillus velezensis,X,031-647-3147,경기도 평택시 안중읍 학현길 35-20,biocontrol_disease,
총채지옥(미생물),충해관리용,㈜고려바이오연구소,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,"25,000원/2.5kg",Beauveria bassiana,X,033-264-5678,강원특별자치도 춘천시 퇴계농공로 79 (퇴계동),biocontrol_insect,https://shopping.naver.com/product/12585303205
효소원(미생물+해조추출물),작물생육용,㈜누림,2023.12.27 ~ 2026.12.26,국립순천대학교 산학협력단,"18,000원/500ml",Bacillus subtilis,X,033-251-2511,강원특별자치도 춘천시 동내면 거두단지1길 29,soil_improvement,
코마에이치액제(미생물제제),병해관리용,㈜남보,2024.02.26 ~ 2027.02.25,국립순천대학교 산학협력단,"7,000원/100mL, 13,000원/300mL, 22,000원/500mL, 38,000원/1L",Bacillus licheniformis,X,055-762-6867,경상남도 진주시 문산읍 월아산로950번길 25-21,biocontrol_disease,https://search.shopping.naver.com/catalog/60432307896
참선충(미생물),충해관리용,㈜에코윈,2023.12.27 ~ 2026.12.26,강원대학교 산학협력단,"40,000원/1L, 75,000원/2L",Photorhabdus temperata,X,053-582-0321,대구광역시 달성군 유가읍 테크노중앙대로2길 18,biocontrol_insect,https://shopping.naver.com/product/11720674780
폭신폭신(토양미생물제제),토양개량 및 작물생육용,㈜한국바이오케미칼,2024.10.11 ~ 2027.10.10,국립순천대학교 산학협력단,"22,000원/5kg",Bacillus subtilis,제 경남 진주036-가-20201호,055-763-0241,경상남도 진주시 문산읍 월아산로950번길 14-20,soil_improvement,
나방잡아(미생물),충해관리용,㈜누림,2025.01.10 ~ 2028.01.09,국립순천대학교 산학협력단,"20,000원/500ml",Bacillus thuringiensis,X,033-251-2511,강원특별자치도 춘천시 동내면 거두단지1길 29,biocontrol_insect,
토토빔(토양미생물제제),토양개량 및 작물생육용,㈜씨엠씨코리아,2025.03.25 ~ 2028.03.24,강원대학교 산학협력단,"8,000원/500g, 25,000원/5kg, 40,000원/10kg",Bacillus megaterium,제 대전 유성061-가-20301 호,042-671-3378~9,대전광역시 유성구 국제과학7로 6 (신동),soil_improvement,
트리아눔-피(P)(미생물),병해관리용,코퍼트㈜,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"220,000원/500g, 1,650,000원/5kg",Trichoderma harzianum,X,031-795-2692,경기도 광주시 초월읍 산수로645번길 48-3,biocontrol_disease,
먹충이 파워(미생물+식물추출물),충해관리용,우림바이오㈜,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"43,000원/500mL",Bacillus subtilis,X,031-294-1234(070-4244-2969),전라남도 영광군 백수읍 백수로 1215,biocontrol_insect,
수도응삼이(미생물+식물추출물),충해관리용,고려바이오㈜,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"37,000원/500mL, 74,000원/1L, 148,000원/2L, 222,000원/3L, 1,480,000원/20L",Bacillus subtilis,X,031-354-8183,경기도 화성시 정남면 정남동로 346,biocontrol_insect,https://shopping.naver.com/product/7899458945
균바이(미생물),병해관리용,㈜자연과미래,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"20,000원/1L",Bacillus subtilis,X,061-363-8488,전라남도 곡성군 오산면 무옥로 359,biocontrol_disease,
젠타리(미생물),충해관리용,㈜농협케미컬,2025.05.29 ~ 2028.05.28,강원대학교 산학협력단,"6,000원/100g, 15,000원/250g",Bacillus thuringiensis,제8-살충-22호,031-738-5200(042-623-0388),대전광역시 대덕구 대화로 130 (대화동),biocontrol_insect,
청달래(미생물),충해관리용,농업회사법인 흙살림바이오(주),2025.07.10 ~ 2028.07.09,국립순천대학교 산학협력단,"20,000원/1L",Bacillus thuringiensis,X,043-215-8179,충청북도 괴산군 불정면 한불로 1136,biocontrol_insect,https://search.shopping.naver.com/catalog/60325520503
잘무더(미생물+이탄),토양개량 및 작물생육용,고려바이오㈜,2025.08.26 ~ 2028.08.25,강원대학교 산학협력단,"14,000원/250mL",Bacillus subtilis,X,031-354-8183,경기도 화성시 정남면 정남동로 346,soil_improvement,https://shopping.naver.com/product/7899458962
자연토(미생물+점토광물+토탄),토양개량 및 작물생육용,고려바이오㈜,2026.01.29 ~ 2029.01.28,강원대학교 산학협력단,"20,000원/10kg",Bacillus subtilis,X,031-354-8183,경기도 화성시 정남면 정남동로 346,soil_improvement,https://shopping.naver.com/product/5983980503
파워토토(토양미생물제제),토양개량 및 작물생육용,㈜대덕바이오,2026.01.29 ~ 2029.01.28,강원대학교 산학협력단,"25,000원/10kg",Bacillus amyloliquefaciens,제 충남 금산002-가-20301 호,042-823-4696,충청남도 금산군 추부면 신평공단로 57,soil_improvement,https://www.nongdal.co.kr/goods/goods_view.php?goodsNo=1000004395&inflow=naver
유산균발효(액)(미생물),토양개량 및 작물생육용,㈜쎌바이오텍,2026.01.29 ~ 2029.01.28,강원대학교 산학협력단,"10,000원/1L, 50,000원/5L, 100,000원/10L, 200,000원/20L, 1,000,000원/100L, 10,000,000원/1,000L",Lactobacillus acidophilus,X,031-987-6205,경기도 김포시 월곶면 애기봉로409번길 50,soil_improvement,
트리코마 수화제(토양미생물제제),토양개량 및 작물생육용,㈜케이엔텍,2026.03.25 ~ 2029.03.24,강원대학교 산학협력단,"12,000원/60g, 35,000원/200g",Trichoderma harzianum,제 경기 화성144-가-20301 호,070-4408-2113,경기도 화성시 우정읍 만곡동1길 42,soil_improvement,https://search.shopping.naver.com/catalog/56630993014
세머루(미생물),병해관리용,㈜엠바이넥스,2026.03.25 ~ 2029.03.24,강원대학교 산학협력단,"15,000원/100g, 25,000원/200g, 120,000원/1kg",Bacillus methylotrophicus,X,055-761-4701,경상남도 진주시 문산읍 월아산로950번길 25-3,biocontrol_disease,https://search.shopping.naver.com/catalog/52676984285
토박이 액상수화제(미생물),충해관리용,㈜팜한농,2026.04.30 ~ 2029.04.29,강원대학교 산학협력단,"12,000원/400mL, 120,000원/4L",Bacillus thuringiensis,제46-살충-289호,1644-0901,경상북도 구미시 남구미로 69 (공단동),biocontrol_insect,
땅심이(토양미생물제제),토양개량 및 작물생육용,(주)신성미네랄,2025.09.02 ~ 2028.09.01,국립순천대학교 산학협력단,"30,000원/10kg",Bacillus subtilis,제 충북 괴산001-가-20301호,043-836-9630,충청북도 괴산군 청안면 조천로2길 34,soil_improvement,https://shopping.naver.com/product/5828041129
바루복합유산균(토양미생물제제),토양개량 및 작물생육용,㈜지에스엘바이오,2023.08.21 ~ 2026.08.20,국립순천대학교 산학협력단,"20,000원/1L, 90,000원/5L, 80,000원/20L",Lactobacillus paracasei,제 제주 서귀포34-가-20301호,064-794-2334,제주특별자치도 서귀포시 대정읍 일주서로3000번길 137-10,soil_improvement,https://search.shopping.naver.com/catalog/60346354318
이엠-1(원액)( EM-1(원액))(토양미생물제제),작물생육용,㈜에버미라클,2023.11.07 ~ 2026.11.06,국립순천대학교 산학협력단,"67,000원/10L, 120,000원/19L, 120,000원/20L",Lactobacillus casei,제 전북 전주12-가-20301호,063-220-2013,전북특별자치도 전주시 완산구 능안자구길 134-44 (삼천동3가),soil_improvement,
트리코마 입제(토양미생물제제),토양개량 및 작물생육용,㈜케이엔텍,2023.12.23 ~ 2026.12.22,강원대학교 산학협력단,"15,000원/2.5kg, 35,000원/5kg, 70,000원/10kg",Trichoderma harzianum,제 경기 화성144-가-20301 호,070-4408-2113,경기도 화성시 우정읍 만곡동1길 42,soil_improvement,https://shopping.naver.com/product/8222005441
대유마이크로닥터(미생물),병해관리용,㈜대유,2023.12.23 ~ 2026.12.22,강원대학교 산학협력단,"13,000원/250mL, 20,000원/500mL","Bacillus amyloliquefaciens, Bacillus subtilis",X,02-556-6293(043-834-3012),충청북도 괴산군 괴산읍 대제산단1길 12,biocontrol_disease,https://search.shopping.naver.com/catalog/40954137728
황금 에스2(S2)(미생물+쌀겨+자연암석분말+토탄추출물+황),토양개량 및 작물생육용,㈜내츄럴이앤지,2024.01.30 ~ 2027.01.29,강원대학교 산학협력단,"30,000원/10kg",Bacillus subtilis,X,070-7506-0001(031-676-2702),경기도 안성시 일죽면 주래본죽로 371,soil_improvement,
페니트리콤골드(토양미생물제제),토양개량 및 작물생육용,SJ인터내셔날,2024.02.26 ~ 2027.02.25,국립순천대학교 산학협력단,"10,000/1.8L, 25,000/5kg, 40,000원/10L",Paenibacillus polymyxa,경남 진주43-가-20301호,055-762-0025,경상남도 진주시 문산읍 월아산로950번길 25-9,soil_improvement,https://shopping.naver.com/product/675631973
아그로믹(미생물+점토광물),토양개량 및 작물생육용,㈜오비트,2024.03.02 ~ 2027.03.01,강원대학교 산학협력단,"30,000원/200g, 125,000원/5kg",Trichoderma harzianum,X,041-551-3660,강원특별자치도 춘천시 강원대학길 1 (효자동),soil_improvement,https://shopping.naver.com/product/6449366366
티비에스(TBS)(토양미생물제제),토양개량 및 작물생육용,㈜세화테크,2024.03.03 ~ 2027.03.02,강원대학교 산학협력단,"38,500원/30g",Bacillus amyloliquefaciens,제 경기 수원41-나-20301 호,031-223-0006,경기도 수원시 권선구 세권로 213 (권선동),soil_improvement,
지앤엠토양개량제(토양미생물제제),작물생육용,지앤엠주식회사,2024.05.19 ~ 2027.05.18,국립순천대학교 산학협력단,"7,700원/1L, 132,000원/20L",Bacillus subtilis,전북 전주18-가-20301호,063-291-1222,전북특별자치도 전주시 덕진구 신성길 17-2 (성덕동),soil_improvement,
브이케이진생 플러스(토양미생물제제),토양개량 및 작물생육용,(유)아스틴,2024.06.10 ~ 2027.06.09,강원대학교 산학협력단,"20,000원/5kg",Bacillus subtilis,제 충남 청양002-가-20301 호,063-832-1358(041-942-5030),충청남도 청양군 비봉면 록평용당로 347,soil_improvement,
삼고랑플러스(미생물+쌀겨+제당부산물),토양개량 및 작물생육용,농업회사법인 ㈜팜스코리아,2024.08.17 ~ 2027.08.16,강원대학교 산학협력단,"25,000원/10kg",Saccharomyces cerevisiae,X,061-381-0245,전라남도 담양군 무정면 수문동길 17,soil_improvement,https://shopping.naver.com/product/12409292297
천공탄(미생물),병해관리용,㈜팜한농,2024.11.11 ~ 2027.11.10,강원대학교 산학협력단,"20,000원/500mL",Bacillus velezensis,X,1644-0901,경상북도 구미시 남구미로 69 (공단동),biocontrol_disease,https://shopping.naver.com/product/5706103617
흙나라골드(토양미생물제제),토양개량 및 작물생육용,농업회사법인 흙살림바이오(주),2024.11.27 ~ 2027.11.26,국립순천대학교 산학협력단,"7,000/10kg",Bacillus subtilis,제 충북괴산03-가-20201호,043-215-8179,충청북도 괴산군 불정면 한불로 1136,soil_improvement,https://shopping.naver.com/product/6037380591
기어텐(GEAR-10)(미생물+제당부산물),토양개량 및 작물생육용,농업회사법인 투엠바이오㈜,2025.01.08 ~ 2028.01.07,강원대학교 산학협력단,"30,000원/50g",Bacillus subtilis,X,031-647-3147,경기도 평택시 안중읍 학현길 35-20,soil_improvement,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=7487568586&ctag=7487568586&lptag=P7487568586&itemId=19572945450&vendorItemId=86680697038&spec=10305199
선충제로(미생물),충해관리용,농업회사법인 성주참외혁신지원단㈜,2025.01.14 ~ 2028.01.13,강원대학교 산학협력단,"18,000원/1L",Bacillus subtilis,X,054-933-6854,경상북도 성주군 대가면 옥성4길 1,biocontrol_insect,
알차니(미생물),병해관리용,한국삼공㈜,2025.03.23 ~ 2028.03.22,강원대학교 산학협력단,"25,000원/5kg",Burkholderia pyrrocinia,X,063-861-8144(063-546-6081),전북특별자치도 김제시 금구면 콩쥐팥쥐로 788-22,biocontrol_disease,
제균탄-골드(미생물),작물생육용,㈜씨엠씨코리아,2025.03.23 ~ 2028.03.22,강원대학교 산학협력단,"5,000원/90mL, 20,000원/1L",Bacillus amyloliquefaciens,X,042-671-3378~9,대전광역시 유성구 국제과학7로 6 (신동),soil_improvement,
콤비네이션(미생물+점토광물+토탄),토양개량 및 작물생육용,㈜아미텍,2025.04.08 ~ 2028.04.07,강원대학교 산학협력단,"10,000원/3kg, 20,000원/5kg, 30,000원/10kg, 50,000원/15kg",Bacillus subtilis,X,041-753-8947,충청남도 금산군 추부면 추풍로 241,soil_improvement,https://shopping.naver.com/product/12833341556
팔파래(미생물),병해관리용,에스비위드크롭스㈜,2025.04.08 ~ 2028.04.07,강원대학교 산학협력단,"30,000원/500g",Bacillus amyloliquefaciens,X,070-8299-5648,경기도 안산시 단원구 산단로19번길 168 (목내동),biocontrol_disease,https://shopping.naver.com/product/8505262572
흙심이(미생물+미생물추출물),토양개량 및 작물생육용,㈜미산,2025.04.06 ~ 2028.04.05,강원대학교 산학협력단,"30,000원/10kg",Bacillus subtilis,X,054-337-1570,경상북도 영천시 채신2공단길 79-13 (채신동),soil_improvement,https://search.shopping.naver.com/catalog/60086798450
비에스제이(BSJ)복합 미생물배양체(토양미생물제제),토양개량 및 작물생육용,팔마미생물㈜,2025.05.04 ~ 2028.05.03,강원대학교 산학협력단,"24,000원/4kg","Bacillus licheniformis, Bacillus subtilis, Lactobacillus plantarum",제 충남 홍성003-가-20301 호,02-703-7796(041-642-6900),충청남도 홍성군 장곡면 홍남동로 880,soil_improvement,
팡이코마수화제(미생물),병해관리용,㈜남보,2025.04.12 ~ 2028.04.11,국립순천대학교 산학협력단,"15,000원/60g, 25,000원/150g",Trichoderma atroviride,X,055-762-6867,경상남도 진주시 문산읍 월아산로950번길 25-21,biocontrol_disease,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8349267009&ctag=8349267009&lptag=I27924950390&itemId=27924950390&vendorItemId=94883438754&spec=10305199
바이오119(토양미생물제제),토양개량 및 작물생육용,㈜조비,2025.06.22 ~ 2028.06.21,강원대학교 산학협력단,"22,000원/500mL",Bacillus amyloliquefaciens,제 울산 남005-가-20301 호,1811-0584,울산광역시 남구 여천로163번길 22 (여천동),soil_improvement,https://shopping.naver.com/product/11184749441
바이오스트롱(미생물),병해관리용,㈜현농,2025.12.21 ~ 2028.12.20,강원대학교 산학협력단,"30,000원/1L",Bacillus subtilis,X,061-393-5316,전라남도 장성군 남면 나노산단3로 33-5,biocontrol_disease,
애미(토양미생물제제),토양개량 및 작물생육용,고원㈜,2025.07.26 ~ 2028.07.25,국립순천대학교 산학협력단,"5,000원/1L, 45,000원/10L, 90,000원/20L","Bacillus subtilis, Lactobacillus casei",제 제주 서귀포05-가-20301호,064-738-7868,제주특별자치도 서귀포시 도순남로 97 (도순동),soil_improvement,
노팡스(미생물),병해충관리용,㈜한국바이오케미칼,2025.08.26 ~ 2028.08.25,국립순천대학교 산학협력단,"25,000원/500g",Bacillus amyloliquefaciens,X,055-763-0241,경상남도 진주시 문산읍 월아산로950번길 14-20,biocontrol_both,
라이브골드(토양미생물제제),토양개량 및 작물생육용,㈜태인,2025.12.21 ~ 2028.12.20,강원대학교 산학협력단,"30,000원/10kg",Bacillus subtilis,제 경북 경주069-가-20301 호,054-761-3355,경상북도 경주시 안강읍 두류길 297,soil_improvement,
총채싹(규조토+미생물),충해관리용,㈜팜한농,2026.02.15 ~ 2029.02.14,강원대학교 산학협력단,"20,000원/1kg",Beauveria bassiana,X,1644-0901,경상북도 구미시 남구미로 69 (공단동),biocontrol_insect,https://search.shopping.naver.com/catalog/59847706161
짭짤이2호플러스(토양미생물제제),토양개량 및 작물생육용,대저농협유통센타,2026.03.22 ~ 2029.03.21,강원대학교 산학협력단,"30,000원/20L",Bacillus subtilis,제 부산 강서31-가-20301 호,051-972-4154(051-972-4152),부산광역시 강서구 공항로533번길 337 (대저2동),soil_improvement,
락토스타(토양미생물제제),토양개량 및 작물생육용,효성오앤비㈜,2023.06.21 ~ 2026.06.20,강원대학교 산학협력단,"10,000원/1kg",Bacillus amyloliquefaciens,제 대전 유성40-가-20301 호,041-545-8116(042-624-7613),대전광역시 유성구 유성대로1596번길 46 (전민동),soil_improvement,
불나방케이(K)(미생물+파라핀오일),충해관리용,그린케어,2023.09.22 ~ 2026.09.21,국립순천대학교 산학협력단,"11,000원/100mL, 25,000원/500mL, 50,000원/1L, 120,000원/3L",Bacillus methylotrophicus,X,063-905-4480,충청북도 충주시 금가면 강수로 81-5,biocontrol_insect,
빌리언(미생물),충해관리용,농업회사법인 투엠바이오㈜,2023.11.02 ~ 2026.11.01,강원대학교 산학협력단,"12,500원/50g, 20,000원/250g",Bacillus thuringiensis,X,031-647-3147,경기도 평택시 안중읍 학현길 35-20,biocontrol_insect,
부활큐(미생물),토양개량 및 작물생육용,글로벌아그로㈜,2023.12.20 ~ 2026.12.19,강원대학교 산학협력단,"28,000원/1L",Bacillus velezensis,X,1800-0584,경상북도 안동시 풍산읍 절뒤길 18,soil_improvement,
병해뚝(규조토+미생물),병해충관리용,㈜대유,2024.01.25 ~ 2027.01.24,국립순천대학교 산학협력단,"24,000원/3kg",Bacillus subtilis,X,02-556-6293(043-834-3012),충청북도 괴산군 괴산읍 대제산단1길 12,biocontrol_both,https://search.shopping.naver.com/catalog/59706561234
고이-8(미생물+이탄),토양개량 및 작물생육용,우림바이오㈜,2024.02.28 ~ 2027.02.27,강원대학교 산학협력단,"25,000원/15kg",Saccharomyces cerevisiae,X,031-294-1234(070-4244-2969),전라남도 영광군 백수읍 백수로 1215,soil_improvement,
푸른세상골드(미생물+점토광물),토양개량 및 작물생육용,그린케어,2024.02.22 ~ 2027.02.21,국립순천대학교 산학협력단,"15,000/2kg, 30,000/5kg",Trichoderma harzianum,X,063-905-4480,전북특별자치도 완주군 구이면 구이로 892,soil_improvement,https://shopping.naver.com/product/9922167124
락토(미생물+쌀겨+점토광물+제당부산물),토양개량 및 작물생육용,FM애그텍,2024.02.21 ~ 2027.02.20,강원대학교 산학협력단,"15,000원/2kg, 60,000원/10kg",Pichia anomala,X,043-237-0278,충청북도 청주시 흥덕구 오송읍 오송생명6로 10,soil_improvement,
총채뚝(미생물),병해충관리용,㈜남보,2024.03.09 ~ 2027.03.08,국립순천대학교 산학협력단,"3,500원/10g, 15,000원/60g, 15,000원/250g, 6,000원/300g, 25,000원/500g, 15,000원/1kg",Lecanicillium attenuatum,X,055-762-6867,경상남도 진주시 문산읍 월아산로950번길 25-21,biocontrol_both,https://search.shopping.naver.com/catalog/60346229282
비티투(미생물),충해관리용,고려바이오㈜,2024.06.27 ~ 2027.06.26,강원대학교 산학협력단,"20,000원/500g",Bacillus thuringiensis,X,031-354-8183,경기도 화성시 정남면 정남동로 346,biocontrol_insect,https://shopping.naver.com/product/7899458942
카이노스(토양미생물제제),토양개량 및 작물생육용,MVP애그텍,2024.06.29 ~ 2027.06.28,국립순천대학교 산학협력단,"10,000원/500mL, 15,000원/1L, 50,000원/5L","Aspergillus oryzae, Bacillus amyloliquefaciens",충북 옥천004-가-20301호,043-733-8996~7,충청북도 옥천군 군서면 동평3길 45-26,soil_improvement,
락토히록스골드(토양미생물제제),토양개량 및 작물생육용,코리아히록스,2024.08.08 ~ 2027.08.07,강원대학교 산학협력단,"25,000원/1kg",Bacillus subtilis,제 경북 경산048-가-20301 호,053-423-7535,경상북도 경산시 압량읍 압독로 153-12,soil_improvement,https://shopping.naver.com/product/13388829919
비티더블유(미생물),충해관리용,㈜엔비아그로,2024.10.24 ~ 2027.10.23,강원대학교 산학협력단,"8,000원/250mL, 15,000원/500mL, 25,000원/1L, 50,000원/2L, 75,000원/3L, 100,000원/4L, 112,500원/4.5L",Bacillus thuringiensis,X,041-754-1015,충청남도 금산군 추부면 숭암로 117,biocontrol_insect,https://shopping.naver.com/product/4753833532
참총충 입제(미생물),충해관리용,㈜에코윈,2024.12.12 ~ 2027.12.11,강원대학교 산학협력단,"25,000원/250g, 30,000원/2kg",Isaria javanica,X,053-582-0321,대구광역시 달성군 유가읍 테크노중앙대로2길 18,biocontrol_insect,https://shopping.naver.com/product/6100083885
바이코나 액제(토양미생물제제),토양개량 및 작물생육용,투엠바이아연구소,2025.01.09 ~ 2028.01.08,강원대학교 산학협력단,"100,000원/15L",Bacillus subtilis,제 충북 청주003-가-20301 호,043-212-2800,충청북도 청주시 청원구 북이면 용계내추로 297-11,soil_improvement,
순천비티제(미생물),충해관리용,순천시농업기술센터,2024.12.28 ~ 2027.12.27,국립순천대학교 산학협력단,"12,000/5L (관내 농민 1,750원/5L)",Bacillus thuringiensis,X,061-749-8773,전라남도 순천시 승주읍 승주로 538-8,biocontrol_insect,
늘푸른세상(미생물+자연암석분말+점토광물),토양개량 및 작물생육용,㈜엠바이넥스,2025.02.20 ~ 2028.02.19,강원대학교 산학협력단,"4,000원/500g, 15,000원/2kg, 27,000원/5kg",Trichoderma harzianum,X,055-761-4701,경상남도 진주시 문산읍 월아산로950번길 25-3,soil_improvement,https://search.shopping.naver.com/catalog/52541762514
